S36;Riccardo Marchetti;3B;riccardo.marchetti@scuola.it;4.7;5
S37;Alessandro Stefano Silva Hurtado;4A;alessandro.stefano.silva.hurtado@scuola.it;6.1;7
S38;Tommaso Silvestri;4A;tommaso.silvestri@scuola.it;5.3;6
S39;Aurora Bernardi;4B;aurora.bernardi@scuola.it;7;7
S40;Christian Morelli;4B;christian.morelli@scuola.it;4.6;5
S41;Greta Ferri;5A;greta.ferri@scuola.it;6.8;7
S42;Lorenzo Palumbo;5A;lorenzo.palumbo@scuola.it;5.5;6
S43;Marta Donati;5B;marta.donati@scuola.it;6.2;7
S44;Nicola Basile;5B;nicola.basile@scuola.it;4.8;5
S45;Elena Riva;3A;elena.riva@scuola.it;6.9;7
S46;Samuele Piras;3A;samuele.piras@scuola.it;5.1;6
S47;Camilla Neri;3B;camilla.neri@scuola.it;7.3;8
S48;Gabriele Fiore;3B;gabriele.fiore@scuola.it;4.5;5
S49;Alice Vitale;4A;alice.vitale@scuola.it;6.6;7
S50;Diego Messina;4A;diego.messina@scuola.it;5.2;6
S51;Matteo Ricci;4B;matteo.ricci@scuola.it;6.5;7
S52;Sara Colombo;4B;sara.colombo@scuola.it;5.1;6
S53;Davide Moretti;5A;davide.moretti@scuola.it;6.8;7
S54;Chiara Greco;5A;chiara.greco@scuola.it;4.9;5
S55;Luca Bruno;5B;luca.bruno@scuola.it;6.2;6
S56;Elisa Gatti;5B;elisa.gatti@scuola.it;5.4;6
S57;Andrea De Luca;3A;andrea.deluca@scuola.it;6.7;7
S58;Francesca Ferri;3A;francesca.ferri@scuola.it;4.8;5
S59;Marco Villa;3B;marco.villa@scuola.it;7.2;8
S60;Giulia Testa;3B;giulia.testa@scuola.it;5.3;6
S61;Alessandro Serra;4A;alessandro.serra@scuola.it;6.1;6
S62;Martina Coppola;4A;martina.coppola@scuola.it;5.6;6
S63;Simone Romano;4B;simone.romano@scuola.it;6.9;7
S64;Valentina Conti;4B;valentina.conti@scuola.it;4.7;5
S65;Paolo Marchetti;5A;paolo.marchetti@scuola.it;6.4;6
S66;Silvia Costa;5A;silvia.costa@scuola.it;5.2;6
S67;Giorgio Fontana;5B;giorgio.fontana@scuola.it;6.7;7
S68;Irene Rinaldi;5B;irene.rinaldi@scuola.it;4.9;5
S69;Daniele Lombardi;3A;daniele.lombardi@scuola.it;6.3;7
S70;Beatrice Mariani;3A;beatrice.mariani@scuola.it;5.5;6
S71;Matteo Pellegrini;3B;matteo.pellegrini@scuola.it;7.1;7
S72;Laura Ferrara;3B;laura.ferrara@scuola.it;4.6;5
S73;Emanuele Serra;4A;emanuele.serra@scuola.it;6.8;7
S74;Alessia Coppola;4A;alessia.coppola@scuola.it;5.3;6
S75;Roberto Villa;4B;roberto.villa@scuola.it;6.6;7
S76;Martina Gatti;4B;martina.gatti@scuola.it;4.8;5
S77;Stefano Ricci;5A;stefano.ricci@scuola.it;7.0;7
S78;Elena Bruno;5A;elena.bruno@scuola.it;5.7;6
S79;Antonio Colombo;5B;antonio.colombo@scuola.it;6.2;6
S80;Francesca De Santis;5B;francesca.desantis@scuola.it;4.9;5
S81;Lorenzo Giordano;3A;lorenzo.giordano@scuola.it;6.9;7
S82;Marta Leone;3A;marta.leone@scuola.it;5.4;6
S83;Nicola Riva;3B;nicola.riva@scuola.it;7.3;8
S84;Camilla Piras;3B;camilla.piras@scuola.it;4.7;5
S85;Gabriele Neri;4A;gabriele.neri@scuola.it;6.5;7
S86;Alice Fiore;4A;alice.fiore@scuola.it;5.2;6
S87;Diego Vitale;4B;diego.vitale@scuola.it;6.7;7
S88;Matteo Messina;4B;matteo.messina@scuola.it;4.6;5
S89;Sara Palumbo;5A;sara.palumbo@scuola.it;6.8;7
S90;Davide Basile;5A;davide.basile@scuola.it;5.3;6
S91;Chiara Donati;5B;chiara.donati@scuola.it;6.1;6
S92;Luca Ferri;5B;luca.ferri@scuola.it;4.8;5
S93;Marco Morelli;3A;marco.morelli@scuola.it;6.6;7
S94;Giulia Longo;3A;giulia.longo@scuola.it;5.5;6
S95;Alessandro Caruso;3B;alessandro.caruso@scuola.it;7.2;8
S96;Martina Santoro;3B;martina.santoro2@scuola.it;4.9;5
S97;Simone Grassi;4A;simone.grassi@scuola.it;6.4;6
S98;Valentina Testa;4A;valentina.testa@scuola.it;5.1;6
S99;Paolo Marchetti;4B;paolo.marchetti2@scuola.it;6.9;7
S100;Silvia Costa;4B;silvia.costa2@scuola.it;4.7;5
